Geneid	ENCFF630HEX_Total_RNAseq_K562.bam
C10orf62	0
MORN4	196
PI4K2A	801
AVPI1	200
MARVELD1	216
ZFYVE27	1067
SFRP5	9
LINC00866	0
GOLGA7B	5
CRTAC1	0
AL355301.1	0
R3HCC1L	932
LOXL4	24
AL139241.1	4
PYROXD2	15
MIR1287	0
HPS1	1112
MIR4685	2
HPSE2	16
MIR6507	0
ARL5AP2	0
RPL7P36	0
CNNM1	0
GOT1	3066
AL391684.1	47
LINC01475	0
AL513542.1	0
NKX2-3	0
SLC25A28	184
AL353719.1	15
AL133353.1	11
ENTPD7	827
EBAG9P1	3
CUTC	669
COX15	1597
ABCC2	12
NANOGP6	0
DNMBP	251
DNMBP-AS1	0
CPN1	2
CYP2C23P	0
TPM4P1	0
SPCS2P2	0
ERLIN1	1142
CHUK	1603
AL138921.2	5
AL138921.1	4
CWF19L1	1428
SNORA12	385
PHBP9	0
RNU6-422P	0
BLOC1S2	1005
PKD2L1	0
AL139819.1	1
SCD	14449
OLMALINC	143
WNT8B	0
SEC31B	145
AL133352.1	1
NDUFB8	709
HIF1AN	604
PAX2	0
AL138762.1	14
SLF2	1237
AL133215.3	1
MRPL43	659
SEMA4G	22
MIR608	0
AL133215.1	14
TWNK	798
LZTS2	1681
PDZD7	11
SFXN3	50
AL133215.2	120
KAZALD1	353
TLX1NB	1
TLX1	18
LINC01514	0
SMARCE1P7	0
LBX1	0
LBX1-AS1	0
AL133387.2	0
RNU2-43P	0
AL133387.1	0
AL133387.3	0
BTRC	547
RNU2-59P	1
DPCD	368
POLL	451
MIR3158-1	0
MIR3158-2	0
FBXW4	263
RNU6-1165P	0
AC010789.1	7
FGF8	1
NPM3	2451
OGA	3603
KCNIP2-AS1	15
KCNIP2	139
ARMH3	12
HPS6	621
AL500527.1	1
AL500527.2	0
LDB1	3124
PPRC1	712
NOLC1	5416
ELOVL3	13
PITX3	5
GBF1	1186
NFKB2	272
PSD	25
FBXL15	401
CUEDC2	639
MIR146B	4
RPARP-AS1	1314
C10orf95	10
MFSD13A	221
ACTR1A	2630
AL121928.1	0
SUFU	123
RPL23AP58	0
RNU6-43P	3
TRIM8	503
AL391121.1	5
ARL3	227
SFXN2	596
WBP1L	671
RNU6-1231P	0
CYP17A1	2
CYP17A1-AS1	0
PFN1P11	0
PTGES3P4	0
AL358790.1	17
BORCS7	225
BORCS7-ASMT	0
AS3MT	0
RPL22P17	0
AL356608.1	0
CNNM2	208
NT5C2	1365
RPS15AP29	1
MARCKSL1P1	0
ST13P13	1
RPEL1	1
INA	0
PCGF6	792
RNU11-3P	1
TAF5	569
ATP5MD	3430
MIR1307	0
PDCD11	6286
CALHM2	0
AL139339.2	7
AL139339.1	0
CALHM1	0
CALHM3	0
NEURL1-AS1	0
NEURL1	6
AL121929.1	0
SH3PXD2A	229
AL121929.2	0
SH3PXD2A-AS1	0
AL133355.1	2
STN1	445
SLK	4159
RN7SL524P	0
COL17A1	0
MIR936	0
SFR1	180
CFAP43	3
MIR609	0
GSTO1	6180
MIR4482	0
GSTO2	40
ITPRIP	726
AL162742.2	0
AL162742.1	0
CFAP58-DT	22
CFAP58	58
AL161646.1	0
AL161646.2	0
SORCS3	0
SORCS3-AS1	0
RNU6-463P	0
PPIAP38	0
YWHAZP5	9
AL731574.1	0
AL353148.1	0
RPL23AP59	0
SORCS1	914
RNA5SP325	0
RNA5SP326	0
LINC01435	0
PTGES3P5	0
AL353740.1	0
AL356476.1	0
MAPKAPK5P1	0
RN7SKP278	0
RNU5B-6P	0
RNU6-839P	0
PHB2P1	0
BTF3P15	0
AL390123.1	0
XIAPP1	0
RPL21P91	0
XPNPEP1	1667
RNU4-5P	0
ADD3-AS1	11
ADD3	2890
SNRPGP12	0
MXI1	542
AL360182.2	0
AL360182.1	7
SMNDC1	223
AL355512.1	4
HMGB3P5	0
DUSP5	169
RPL7P35	0
SMC3	3226
RBM20	224
RN7SKP288	1
RNA5SP327	0
AL136368.1	4
PDCD4-AS1	24
PDCD4	1296
MIR4680	0
BBIP1	267
AL158163.2	2
AL158163.1	9
SHOC2	1096
RPL13AP6	1
MIR548E	1
ADRA2A	1
AL355863.1	0
BTBD7P2	0
AC021035.1	0
RPS6P15	0
GPAM	753
TECTB	0
MIR6715A	0
MIR6715B	0
GUCY2GP	0
ACSL5	84
AL157786.1	1
ZDHHC6	832
VTI1A	901
AC022018.1	0
MIR4295	0
AL139120.1	0
AL158212.3	93
AL158212.4	0
AL158212.1	0
TCF7L2	14
AL158212.2	7
RPS15AP30	2
RNU7-165P	0
PPIAP39	0
HABP2	0
NRAP	0
CASP7	456
AL592546.1	0
PLEKHS1	0
MIR4483	0
DCLRE1A	1691
NHLRC2	1002
ADRB1	4
RNU6-709P	0
UBE2V1P5	0
CCDC186	448
RF02277	0
MIR2110	0
TDRD1	0
VWA2	0
AURKAPS2	1
AC005383.1	0
AFAP1L2	3
RN7SL384P	0
AL133384.2	0
ABLIM1	1
AL133384.1	0
PPIAP19	0
AL137025.1	0
TAF9BP2	0
FAM160B1	335
RPL15P13	0
TRUB1	665
RNU6-1121P	0
AL355340.1	2
ATRNL1	0
NTAN1P1	0
GFRA1	0
CCDC172	0
SNRPGP6	0
PNLIPRP3	0
HMGB3P8	0
RNU6-1090P	0
PNLIP	0
PNLIPP1	0
PNLIPRP1	0
PNLIPRP2	0
C10orf82	0
AC016825.1	0
HSPA12A	1
RPL5P27	0
ENO4	0
SHTN1	544
AC012308.1	0
VAX1	0
MIR3663HG	0
MIR3663	0
RPL12P26	0
KCNK18	0
AL731557.1	43
SLC18A2	223
AL391988.1	57
PDZD8	4353
AC005871.2	4
EMX2OS	0
EMX2	0
AC005871.1	0
AL139121.1	0
AL513324.1	0
RAB11FIP2	413
AC022395.1	0
CASC2	10
AL354863.1	0
FAM204A	1279
LINC00867	3
SLC25A18P1	0
PRLHR	0
TOMM22P5	0
CACUL1	1382
AL139407.1	18
RPL17P36	9
LDHAP5	2
AL157788.1	0
NANOS1	14
EIF3A	10082
SNORA19	2
AL355598.1	0
FAM45A	195
SFXN4	1497
PRDX3	5026
GRK5	58
GRK5-IT1	5
RN7SL749P	1
AL583824.1	0
MIR4681	0
RGS10	1194
AC012468.1	0
TIAL1	729
RAD1P1	15
RPS8P4	6
BAG3	332
TXNP1	0
INPP5F	468
RN7SL846P	0
PHACTR2P1	0
AL133461.1	0
MCMBP	2789
SEC23IP	1222
MIR4682	1
NACAP2	0
AL355298.1	0
RPL21P16	3
AC073587.1	0
PLPP4	0
LINC01561	0
WDR11-AS1	3
AL391425.1	0
WDR11	1921
AC010998.2	1
AC010998.1	0
AC010998.3	0
RPL19P16	0
LINC01153	0
RN7SKP167	0
FGFR2	0
AC009988.1	0
RPS15AP5	0
AC025947.1	0
ATE1	621
ATE1-AS1	3
AL731566.2	0
NSMCE4A	1215
AL731566.1	0
TACC2	1
BTBD16	0
RNU6-728P	0
PLEKHA1	38
MIR3941	0
ARMS2	0
HTRA1	2
DMBT1	2
C10orf120	0
DMBT1P1	0
CUZD1	57
FAM24B	70
AC073585.1	254
FAM24A	0
C10orf88	389
PSTK	400
IKZF5	184
ACADSB	380
HMX3	281
HMX2	7
BUB3	6453
RPS26P39	2
AL160290.3	0
AL160290.2	0
AL160290.1	0
AL357127.1	0
GPR26	0
CPXM2	0
AC009987.1	0
AC068058.1	0
YBX2P1	0
AL683842.1	0
CHST15	9
OAT	6288
NKX1-2	0
AL445237.1	0
LHPP	71
RPS10P18	0
AC068896.1	4
FAM53B	660
AL513190.1	1
FAM53B-AS1	0
EEF1AKMT2	559
ABRAXAS2	653
NPM1P31	1
AL731577.2	8
ZRANB1	151
AL731577.1	6
CTBP2	125
AL731571.1	0
MIR4296	0
AL157888.1	0
MRPS21P6	0
RPS27P18	0
TEX36-AS1	0
TEX36	2
ALDOAP2	0
AL158835.2	0
AL158835.1	5
AL158835.4	0
AL158835.3	8
EDRF1	1181
EDRF1-AS1	0
MMP21	0
UROS	957
MIR4484	0
BCCIP	3243
DHX32	1264
RNU2-42P	0
FANK1	35
GNG10P1	0
FANK1-AS1	0
ADAM12	0
RNA5SP328	0
SAR1AP2	0
LINC00601	0
C10orf90	0
DOCK1	0
AL359094.1	0
AL359094.2	0
FAM196A	0
NPS	0
AL391005.1	0
FOXI2	0
BUB1P1	0
CLRN3	0
PTPRE	2
AL158166.2	0
AL158166.1	0
MKI67	2261
AL390763.2	1
AL390763.1	0
AL355537.1	0
AL355537.2	0
AL391869.1	0
MGMT	8
AL157832.2	0
AL157832.1	0
AL157832.3	0
EBF3	0
AL354950.2	0
MIR4297	0
AL354950.1	0
C10orf143	5
AL139123.1	6
CTAGE7P	0
PPIAP32	0
GLRX3	2932
AL157712.1	0
AL355500.1	0
MIR378C	0
TCERG1L	0
TCERG1L-AS1	0
LINC01164	0
AL607033.1	0
FP565171.1	99
PPP2R2D	1318
BNIP3	1097
AL162274.2	4
AL162274.1	0
AL162274.3	1
JAKMIP3	8
AL512622.1	0
DPYSL4	2
STK32C	255
LRRC27	75
PWWP2B	209
AL451069.2	0
AL451069.3	0
C10orf91	0
AL451069.1	0
LINC01165	0
INPP5A	504
NKX6-2	0
CFAP46	0
LINC01166	0
LINC01167	0
LINC01168	0
ADGRA1	0
ADGRA1-AS1	0
RPL5P28	0
KNDC1	6
UTF1	0
VENTX	42
MIR202HG	10
MIR202	0
AL592071.1	0
ADAM8	245
TUBGCP2	2197
AL360181.2	35
ZNF511	488
ZNF511-PRAP1	0
CALY	0
BANF1P2	0
AL360181.1	7
PRAP1	0
FUOM	627
ECHS1	3125
MIR3944	0
AL360181.4	0
PAOX	189
AL360181.3	2
MTG1	146
SPRN	0
OR6L2P	0
SCART1	473
OR7M1P	1
CYP2E1	10
AL161645.1	1
SYCE1	1
OR6L1P	0
FRG2B	1
RARRES2P2	0
AGGF1P2	9
CLUHP5	0
DUX4L28	0
DUX4L25	0
DUX4L24	0
DUX4L23	0
DUX4L22	0
DUX4L21	0
DUX4L20	0
DUX4L29	0
DUX4L10	0
DUX4L11	0
DUX4L12	0
DUX4L13	0
DUX4L14	0
DUX4L15	0
RPL23AP60	0
BX322534.1	0
DDX11L8	0
AC215219.1	250
FAM138D	2
IQSEC3	4
AC026369.3	3
AC026369.1	0
AC026369.2	0
AC007406.3	0
SLC6A12	1
AC007406.1	0
AC007406.4	0
SLC6A13	3
AC007406.2	0
AC007406.5	88
KDM5A	3067
CCDC77	749
B4GALNT3	3
NINJ2	52
AC006205.2	0
RNU7-103P	0
AC006205.1	0
AC021054.1	197
LINC02455	0
WNK1	1613
RNU4ATAC16P	0
RAD52	368
AC004803.1	53
ERC1	332
HTR1DP1	0
AC004672.1	2
AC004672.2	0
LINC00942	0
WNT5B	758
FBXL14	270
MIR3649	0
ADIPOR2	2361
AC005183.1	0
RPS4XP14	2
CACNA2D4	20
LRTM2	0
AC005342.2	0
LINC00940	0
DCP1B	101
CACNA1C	0
AC005342.1	0
CACNA1C-IT1	0
CACNA1C-IT2	0
AC005344.1	0
CACNA1C-AS4	0
CACNA1C-IT3	0
CACNA1C-AS3	0
AC007618.1	0
CACNA1C-AS2	2
CACNA1C-AS1	0
AC092471.2	0
AC092471.3	0
LINC02371	0
IQSEC3P1	0
AC092471.1	0
RPL23AP14	0
CBX3P4	2
FKBP4	6122
ITFG2-AS1	4
AC005841.1	3
ITFG2	413
NRIP2	0
TEX52	2
FOXM1	389
RHNO1	617
TULP3	237
AC005911.1	7
RNU6-1315P	0
TEAD4	427
AC125807.2	166
AC125807.1	2
TSPAN9	27
TSPAN9-IT1	0
AC005912.2	0
AC005912.1	24
AC005865.2	0
AC005865.1	0
LINC02417	0
PRMT8	0
AC005908.2	0
AC005908.1	0
CRACR2A	372
AC005831.1	49
RNU6-174P	0
AC006207.1	5
PARP11	135
OTUD4P1	3
AC005842.1	0
AC007207.2	0
HSPA8P5	4
AC007207.1	0
AC006122.2	9
CCND2	7003
TIGAR	32
AC006122.1	0
FGF23	0
FGF6	0
C12orf4	735
RAD51AP1	1212
DYRK4	187
AC005832.2	0
AC005832.4	0
AKAP3	18
AC005832.3	0
AC005832.1	0
NDUFA9	1073
AC005833.2	0
AC005833.1	0
GALNT8	8
AC005833.3	0
KCNA6	0
AC006063.1	0
AC005906.2	0
KCNA1	0
AC006063.2	0
AC005906.1	0
KCNA5	0
LINC02443	1
AC006206.2	31
AC006206.1	12
AC007848.2	0
AC007848.1	4
NTF3	0
ANO2	0
AC137627.1	0
VWF	0
RN7SL69P	0
AC005845.1	0
CD9	10
ATP5MFP5	0
PLEKHG6	3
TNFRSF1A	686
RN7SL391P	0
SCNN1A	1
LTBR	1143
AC005840.2	23
AC005840.1	1
SRP14P1	0
CD27-AS1	4
CD27	0
TAPBPL	63
VAMP1	100
AC005840.4	0
AC005840.3	0
MRPL51	2889
NCAPD2	4704
SCARNA10	3
AC006064.5	0
AC006064.3	5
GAPDH	53413
AC006064.4	16
IFFO1	2
AC006064.1	0
NOP2	138
AC006064.6	0
CHD4	17723
AC006064.2	1
SCARNA11	14
LPAR5	151
ACRBP	72
ING4	491
AC125494.1	0
ZNF384	429
PIANP	0
RNU6-781P	10
AC125494.3	0
COPS7A	720
AC125494.2	1
MLF2	1622
PTMS	582
LAG3	3
RN7SL380P	0
CD4	3
GPR162	36
P3H3	263
GNB3	26
CDCA3	1106
USP5	3136
TPI1	17334
SPSB2	203
RPL13P5	107
LRRC23	78
DSTNP2	146
U47924.3	4
ENO2	426
ATN1	85
C12orf57	1242
U47924.2	2
RNU7-1	0
PTPN6	133
MIR200CHG	0
MIR200C	0
MIR141	0
U47924.1	0
PHB2	7703
SCARNA12	35
EMG1	2403
LPCAT3	838
C1S	12
AC006512.1	0
AC006512.2	0
C1R	9
C1RL	243
C1RL-AS1	262
AC233309.1	2
RNU6-485P	1
RBP5	162
AC018653.3	10
CLSTN3	555
AC018653.1	0
PEX5	815
AC018653.2	0
ACSM4	0
CD163L1	50
AC131206.1	17
CD163	0
GAPDHP31	0
NIFKP3	3
AC006927.1	2
AC006927.2	0
AC006927.4	0
AC006927.3	0
AC006927.5	0
APOBEC1	0
GDF3	1
DPPA3	0
CLEC4C	1
NANOGNB	0
NANOG	0
SLC2A14	122
AC006517.1	0
AC124891.1	0
NANOGP1	0
AC007536.1	0
SLC2A3	6660
AC006511.1	0
AC006511.4	2
HSPD1P12	1
AC006511.2	2
FOXJ2	161
C3AR1	156
NECAP1	857
AC006511.3	23
AC006511.5	4
CLEC4A	1
POU5F1P3	0
AC092111.3	0
GCSHP4	0
ZNF705A	0
FAM66C	0
DEFB109F	0
AC092111.2	0
AC092111.1	6
FAM90A1	2
ALG1L10P	15
FAM86FP	5
LINC02449	61
ENPP7P5	0
LINC00937	2
AC092745.2	0
AC092745.1	1
AC092745.3	0
RPS3AP43	0
AC092865.4	0
AC092865.3	0
AC092865.2	0
OR7E140P	0
OR7E148P	0
OR7E149P	0
CLEC6A	0
AC092865.1	0
RNU6-275P	0
CLEC4D	3
SUPT4H1P2	0
CLEC4E	0
AC092746.1	0
AICDA	0
AC092184.1	0
HADHAP2	0
MFAP5	0
AC092490.2	0
AC092490.3	0
RIMKLB	916
RPSAP51	1
A2ML1-AS1	0
AC092490.1	7
A2ML1-AS2	0
A2ML1	5
AC006581.2	1
PHC1	71
M6PR	3510
KLRG1	36
AC006581.1	0
HNRNPA1P34	0
VDAC2P2	0
LINC00612	0
A2M-AS1	0
A2M	0
KRT17P8	0
BTG1P1	2
PZP	0
TPT1P12	0
A2MP1	0
MIR1244-3	0
PTMAP4	45
LINC00987	0
AC010175.1	0
AC009533.1	287
AC009533.2	0
LINC02367	2
AC141557.1	29
AC141557.2	0
DDX12P	266
AC092821.3	45
AC092821.1	5
AC092821.2	0
KLRB1	2
RNU6-700P	0
GOT2P3	7
AC010186.4	0
AC010186.1	2
AC010186.2	114
AC010186.3	130
CLEC2D	151
AC007068.1	0
LINC02390	0
CLECL1	1
CD69	2398
AC007068.2	0
KLRF1	31
CLEC2B	154
AC091814.1	4
KLRF2	1
CLEC2A	0
LINC02470	0
CLEC12A-AS1	0
CLEC12A	0
CLEC1B	0
CLEC12B	0
AC024224.2	0
CLEC9A	0
AC024224.1	0
CLEC1A	0
RN7SKP161	0
HNRNPABP1	0
CLEC7A	0
OLR1	0
TMEM52B	0
GABARAPL1	440
AC115676.1	0
KLRD1	0
AC022075.3	0
AC022075.2	2
AC022075.1	46
KLRK1	0
KLRC4-KLRK1	2
KLRC4	0
AC068775.1	0
KLRC3	1
KLRC2	0
KLRC1	0
EIF2S3B	29
SLC25A39P2	0
LINC02446	0
KLRA1P	56
MAGOHB	986
STYK1	16
YBX3	1506
LINC02366	0
HSPE1P12	0
TAS2R7	0
TAS2R8	0
TAS2R9	0
PRH1	52
TAS2R10	3
AC006518.1	2
PRR4	7
AC018630.2	0
AC006518.7	0
AC006518.2	11
TAS2R13	11
PRH2	0
TAS2R14	34
TAS2R15P	37
TAS2R50	13
TAS2R20	31
TAS2R19	53
TAS2R31	27
TAS2R63P	15
TAS2R46	15
TAS2R64P	15
TAS2R43	1
AC018630.1	0
TAS2R30	46
AC134349.2	39
AC134349.1	57
SMIM10L1	976
TAS2R42	0
AC244131.1	0
AC244131.2	0
PRB3	1
PRB4	0
PRB1	0
PRB2	0
AC078950.1	0
HIGD1AP8	0
AC007450.4	0
AC007450.3	0
DDX55P1	0
AC007450.2	0
AC007450.1	0
RNU7-60P	0
LINC01252	1
ETV6	450
BCL2L14	0
AC007537.1	10
MIR1244-4	0
LRP6	1683
AC007537.2	0
RNU6-545P	0
AC007621.1	0
RNU6-318P	0
MANSC1	113
RPL23AP66	0
LOH12CR2	34
BORCS5	160
AC007619.2	0
DUSP16	690
AC007619.1	1
AC092824.1	0
CREBL2	414
RPL21P136	0
AC008115.4	1
GPR19	11
AC008115.2	0
CDKN1B	1087
AC008115.3	70
AC008115.1	1
APOLD1	70
MIR613	0
STX8P1	0
DDX47	64
AC007215.1	0
AC007688.1	0
RPL13AP20	3
GPRC5A	0
MIR614	0
GPRC5D-AS1	145
GPRC5D	0
AC007688.2	1
RF00604	0
HEBP1	12
HTR7P1	7
AC023790.2	7
AC023790.1	0
FAM234B	215
GSG1	0
EMP1	3
LINC01559	0
GRIN2B	0
RNA5SP353	0
RNU6-590P	0
AC007527.1	0
AC007527.2	0
RN7SKP162	0
AC092470.1	0
AC135001.1	0
AC092112.1	1
MRPS18CP4	0
RNU6-491P	0
GNAI2P1	0
RPL30P11	1
ATF7IP	1121
PLBD1	843
AC008114.1	0
RN7SKP134	5
PLBD1-AS1	12
GUCY2C	1
AC010168.1	2
AC010168.2	0
HIST4H4	0
H2AFJ	1
WBP11	1154
C12orf60	29
SMCO3	0
ART4	5
AC007655.1	1
MGP	0
ERP27	2
ARHGDIB	1860
PDE6H	1
LINC01489	0
RERG	68
RERG-IT1	0
RERG-AS1	0
METTL8P1	5
PTPRO	0
AC092183.1	0
EPS8	13
RNU6-251P	0
AC073651.1	0
AC073651.2	0
STRAP	2205
DERA	343
EGLN3P1	0
SLC15A5	0
MGST1	271
SUPT16HP1	21
AC007552.1	0
LMO3	1
AC007552.2	0
AC007529.2	0
AC007529.1	0
AC023512.1	1
EEF1A1P16	3
RNU6-837P	0
RPL7P40	0
PSMC1P8	0
TIMM17BP1	0
LINC02378	0
AC087321.1	0
MIR3974	0
RERGL	0
PIK3C2G	0
NDFIP1P1	0
AC092851.1	0
ZKSCAN7P1	0
PLCZ1	5
PSMC1P9	1
AC087242.1	0
CAPZA3	0
RPL7P6	3
MEF2BNBP1	0
PLEKHA5	1542
AC092828.1	78
RN7SL459P	0
RN7SL67P	10
AEBP2	380
PDCD5P1	0
AC091805.2	0
RNU6-254P	0
EEF1A1P4	20
AC091805.1	2
RNU1-146P	0
AC024901.1	0
TCP1P3	2
LINC02398	0
LINC02468	0
AC129102.1	0
PDE3A	0
UBE2L2	0
AC112777.1	66
SLCO1C1	0
SLCO1B3	0
AC011604.2	0
AC011604.1	0
SLCO1B7	0
AC022335.1	0
SLCO1B1	4
SLCO1A2	264
IAPP	0
PYROXD1	303
ELOCP31	0
RECQL	1921
GOLT1B	778
SPX	5
GYS2	2
LDHB	26337
AC010197.1	0
AC010185.1	1
KCNJ8	108
ABCC9	18
AC008250.1	0
AC008250.2	0
AC092862.1	0
CMAS	1972
ST8SIA1	55
AC007671.1	0
SULT6B2P	0
RNU1-149P	0
AC087318.1	0
C2CD5	670
AC053513.1	7
LRRC34P1	0
AC087241.2	0
AC087241.1	0
AC087241.3	4
ETNK1	3256
AC087241.4	11
AC084816.1	1
RPS27P22	0
AC084819.1	0
AC087258.1	0
AC087258.2	6
AC087235.1	65
SOX5	672
AC087260.1	2
MIR920	0
SOX5-AS1	0
LINC00477	0
KNOP1P1	0
AC087312.1	0
AC023796.1	0
RN7SL38P	0
BCAT1	13172
AC023796.2	0
AC026310.3	0
AC026310.2	2
AC026310.1	0
C12orf77	0
LRMP	627
CENPUP2	0
AC023510.1	0
AC023510.2	0
CASC1	13
ETFRF1	287
KRAS	897
AC092794.1	3
AC092794.2	0
AC087239.1	2
RNU4-67P	0
AC092451.1	0
LMNTD1	1
AC092451.3	0
AC092451.2	0
TUBB4BP1	0
AC022367.1	1
RN7SKP262	0
AC019209.3	0
TDGP1	1
AC019209.2	1
MIR4302	0
AC019209.1	0
RASSF8-AS1	0
RASSF8	10
BHLHE41	0
SSPN	0
AC022509.3	0
AC022509.2	0
AC022509.1	0
AC022509.4	4
AC055720.1	0
AC024145.1	0
AC055720.2	0
ITPR2	456
RNA5SP354	0
AC023051.1	0
AC023051.2	0
INTS13	2699
FGFR1OP2	1667
AC024896.1	0
TM7SF3	1561
MED21	787
AC092747.4	84
C12orf71	0
AC092747.3	0
AC092747.1	0
AC092747.2	4
STK38L	460
ARNTL2	13
ARNTL2-AS1	0
SMCO2	0
RARSP1	0
PPFIBP1	61
AC087257.1	0
AC087257.2	0
AC009509.3	0
AC009509.1	0
REP15	0
AC009509.4	0
HMGB1P49	0
AC009509.2	0
MRPS35	3770
MANSC4	1
AC009511.2	0
KLHL42	599
AC009511.1	0
RN7SKP15	0
AC008011.1	0
PTHLH	19
AC008011.2	4
CCDC91	1047
AC022364.1	23
AC022364.2	0
AC022079.2	7
AC022079.1	7
RNU4-54P	0
RNA5SP355	0
AC084754.1	0
AC022081.1	0
AC024255.1	0
AC012150.1	2
FAR2	433
AC012150.2	1
AC009318.4	1
AC009318.1	46
AC009318.3	20
AC009318.2	23
ERGIC2	1675
OVCH1-AS1	9
OVCH1	1
TMTC1	7
AC009320.1	0
RPL21P99	0
AC023511.2	0
AC023511.1	0
LINC02386	0
AC078776.2	0
RNA5SP356	0
AC078776.1	0
AC026371.1	0
IPO8	1090
CAPRIN2	379
AC010198.1	0
LINC00941	0
PPIAP44	0
TSPAN11	0
AC008013.1	0
AC008013.2	0
DDX11-AS1	35
DDX11	1921
AC008013.3	0
AC024940.2	7
AC024940.5	0
AC024940.3	2
MREGP1	0
AC024940.6	3
SINHCAF	4338
AC024940.4	0
AC024940.1	10
LINC02387	0
DENND5B	168
RNU6-618P	0
AC068792.1	1
AC022080.1	0
AC022080.3	0
AC022080.2	2
DENND5B-AS1	3
RNU5F-4P	0
RPL31P50	0
AK4P3	0
ETFBKMT	70
AMN1	181
STMN1P1	15
AC023157.3	343
AC023157.2	0
AC023157.1	0
H3F3C	3
RNU6-1069P	0
AC023050.2	0
LINC02422	0
AC023050.3	0
AC023050.1	0
RPL12P32	0
AC023050.4	0
KIAA1551	5627
AC016957.2	26
AC016957.1	0
AC048344.2	0
AC048344.3	0
AC048344.1	0
BICD1	340
AC048344.4	17
AC016954.1	0
AC026356.1	6
AC026356.2	6
FGD4	28
RNU6-494P	0
DNM1L	3694
AC084824.2	0
AC084824.5	7
AC084824.1	25
YARS2	1110
AC084824.3	3
AC084824.4	4
PKP2	134
AC087588.2	1
AC087588.1	0
AC087311.1	1
AC087311.2	0
SYT10	295
AC023158.1	5
AC023158.2	39
AC016956.1	5
RNU6-400P	1
AC024153.1	0
RNU6-472P	0
ALG10	492
AC046130.1	1
AC046130.2	2
AC140847.1	0
AC140847.3	0
TUBB8P4	0
AC140847.2	0
RNA5SP357	0
DUX4L27	1
AK6P1	0
ZNF970P	0
AK6P2	0
CLUHP8	0
RNA5SP358	0
RNA5SP359	0
TUBB8P5	0
AC117372.1	0
NF1P12	0
ALG10B	155
AC087897.1	0
AC087897.2	0
CPNE8	214
AC067735.1	8
AC018448.2	0
AC018448.1	0
LINC02406	0
AC084373.1	0
KIF21A	2480
AC121334.1	0
AC121334.2	0
ABCD2	28
C12orf40	238
SLC2A13	582
RF00414	0
RPL30P13	8
LINC02555	0
LINC02471	0
AC079630.1	0
LRRK2	47
AC084290.1	0
MUC19	547
AC107023.1	0
RNU6-713P	0
CNTN1	0
AC016144.1	0
AC015540.1	0
PDZRN4	1
AC090531.1	0
RNA5SP360	0
MTND2P17	0
MTND1P24	0
LINC02400	0
AC090630.1	0
AC006197.1	0
AC023513.1	0
GXYLT1	540
YAF2	604
PPHLN1	2599
AC020629.1	0
ZCRB1	1439
MIR7851	1
AC079684.1	56
RNU6-249P	0
AC079601.2	0
PRICKLE1	120
AC079601.1	8
AC079600.3	0
LINC02402	0
AC079600.2	0
AC079600.1	0
LINC02451	0
RPS27P21	0
LINC02450	1
AC068802.1	0
AC012038.2	0
AC012038.1	0
MRPS36P5	0
LINC02461	0
ADAMTS20	14
AC090525.1	0
AC090525.2	0
AC090525.3	0
EEF1A1P17	0
PUS7L	2937
AC093012.1	0
IRAK4	1291
TWF1	611
TMEM117	71
ZNF75BP	0
AC025030.2	0
AC025030.1	0
AC025253.1	0
NELL2	31
DBX2	0
AC008127.1	0
RACGAP1P	0
AC008127.2	0
RNA5SP361	0
PLEKHA8P1	191
AC009248.1	0
ANO6	2204
AC009248.2	1
AC063924.1	0
AC079950.1	0
AC008124.1	610
ARID2	1840
AC009464.1	4
RN7SL246P	4
KNOP1P2	0
SCAF11	2552
AC084878.1	0
SLC38A1	9098
AC025031.3	2
SLC38A2	14279
AC025031.2	1
AC008014.1	120
AC025031.1	0
AC025031.4	118
AC025031.5	58
AC008035.1	24
OR7A19P	5
MARK3P1	0
SLC38A4	0
AC079906.1	0
AMIGO2	892
PCED1B	198
AC119044.1	0
MIR4698	1
PCED1B-AS1	80
AC008083.1	15
AC008083.2	15
AC008083.3	0
PPIAP45	1
LINC02416	60
MIR4494	0
LINC02156	0
ADI1P3	0
AC003686.1	0
AC004486.1	0
RPAP3	2261
AC004241.3	21
AC004241.1	22
ENDOU	3
AC004241.5	0
AC004241.2	0
RAPGEF3	51
SLC48A1	1021
AC004241.4	0
HDAC7	2693
AC004466.1	15
AC004466.3	1
AC004466.2	28
LINC02354	12
VDR	110
AC121338.1	0
AC121338.2	3
AC004801.7	0
TMEM106C	1699
COL2A1	2
AC004801.5	0
AC004801.4	0
AC004801.3	0
AC004801.6	17
SENP1	1788
AC004801.2	26
RNU6-1203P	0
AC004801.1	1
PFKM	1755
MIR6505	1
ASB8	660
AC074029.3	3
AC074029.2	0
PHBP18	0
AC074029.1	0
CCDC184	1
AC074029.4	0
AC024257.3	34
OR10AD1	0
AC024257.1	0
AC024257.5	0
H1FNT	0
AC024257.2	0
ZNF641	1306
AC090115.1	4
OR5BK1P	0
AC024257.4	5
OR5BT1P	0
OR5BJ1P	0
OR8S21P	0
OR8T1P	0
ANP32D	0
C12orf54	0
AC089987.2	0
RPS10P20	0
AC089987.1	0
OR8S1	0
OR5BS1P	2
LALBA	2
OR11M1P	0
KANSL2	1952
SNORA2C	54
MIR1291	2
SNORA2A	24
SNORA2B	23
CCNT1	4056
TEX49	0
