Geneid	ENCFF630HEX_Total_RNAseq_K562.bam
AL590609.3	0
MIR378F	0
AL590609.2	1
PNRC2	5159
SRSF10	7714
AL590609.1	0
AL591178.1	0
MYOM3	0
AL591178.2	0
IL22RA1	0
IFNLR1	1
AL590683.1	0
AL138902.1	0
GRHL3	0
STPG1	149
NIPAL3	1438
RCAN3	59
AL445686.2	0
NCMAP	0
AL445686.1	0
SRRM1	1096
AL445648.1	1
CLIC4	4148
RNU6-1208P	0
RUNX3	6
MIR6731	0
AL445471.1	0
AL445471.2	0
MIR4425	0
AL050344.1	0
AL121994.1	0
AL031432.1	0
SYF2	1945
AL031432.4	70
AL031432.5	7
RSRP1	5508
AL031432.3	8
AL031432.2	44
RHD	629
SDHDP6	10
AL928711.1	5
TMEM50A	3785
RHCE	305
AL031284.1	3
MACO1	1765
LDLRAP1	1463
AL606491.1	11
MAN1C1	9
AL031280.1	0
SELENON	250
AL020996.2	0
AL020996.1	27
MTFR1L	1924
AL020996.3	0
AUNIP	1682
AL033528.2	13
PAQR7	262
STMN1	19139
SNRPFP2	0
AL033528.1	0
MIR3917	0
PAFAH2	447
RNU6-110P	0
RF00492	0
RF00283	0
EXTL1	7
SLC30A2	2
AL391650.2	0
TRIM63	19
PDIK1L	1959
FAM110D	41
C1orf232	0
AL391650.1	1
ZNF593	1287
CNKSR1	13
CATSPER4	1
AL355877.1	0
AL355877.3	1
CEP85	5751
AL355877.2	0
SH3BGRL3	816
UBXN11	305
CD52	1124
CRYBG2	58
AL451139.1	0
ZNF683	1
LIN28A	60
DHDDS	1358
AL513365.1	2
AL513365.2	12
HMGN2	7690
DPPA2P2	0
RPS6KA1	2258
MIR1976	0
RN7SL679P	0
RNU7-29P	0
AL627313.1	0
RF01210	3
AL627082.1	0
AL512408.1	47
ARID1A	1307
PIGV	754
RN7SL165P	1
ZDHHC18	887
SFN	63
AL034380.1	1
GPN2	1665
GPATCH3	614
NUDC	5098
NR0B2	2
KDF1	29
RPL12P13	0
AL356390.1	0
OSTCP2	0
TRNP1	9
TENT5B	51
SLC9A1	161
AL590640.2	0
CHCHD3P3	39
NPM1P39	19
SNRPEP7	0
AL590640.1	0
WDTC1	1011
FO393419.3	1
TMEM222	982
RNU6-48P	9
ACTG1P20	46
SYTL1	433
MAP3K6	354
FCN3	0
CD164L2	16
FO393419.1	0
GPR3	81
WASF2	2106
FO393419.2	0
BX293535.1	60
AHDC1	143
FGR	1
AL031729.1	3
LINC02574	0
IFI6	113
AL445490.1	1
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
FAM76A	535
AL020997.1	4
RPEP3	7
STX12	1308
AL020997.2	9
AL020997.3	1
RNU6-1245P	1
PPP1R8	3516
SCARNA1	66
THEMIS2	349
RPA2	5134
SMPDL3B	26
AL512288.1	0
XKR8	85
EYA3	2615
AL512288.2	11
RN7SL559P	8
SPCS2P4	8
AL137792.2	0
AL137792.1	0
RNU6-176P	0
PTAFR	27
DNAJC8	5850
ATP5IF1	4671
AL353622.1	68
AL353622.2	2
SESN2	3262
MED18	917
PHACTR4	514
CR391992.1	3
RNU6ATAC27P	1
RCC1	5397
SNHG3	11353
SNORA73A	0
SNORA73B	12338
PRDX3P2	0
AL513497.1	32
TRNAU1AP	1584
SNHG12	2893
SNORD99	54
SNORA61	0
SNORA44	0
SNORA16A	0
TAF12	1276
RAB42	3
LINC01715	42
AL360012.1	0
RNU11	19
GMEB1	883
RF00422	0
YTHDF2	3436
OPRD1	4
AL009181.1	0
EPB41	11046
AL138785.1	1
RF00017	137
TMEM200B	7
AL357500.1	6
SRSF4	3267
RF02271	79
MECR	945
AL590729.1	0
PTPRU	138
LINC01756	4
AL671862.1	0
AC092265.1	0
AL645944.2	0
AL645944.1	0
LINC01648	0
AL137076.1	0
AL021921.1	0
AL161638.2	0
AL161638.1	0
MATN1	102
MATN1-AS1	402
LAPTM5	1685
MIR4420	6
AL137027.1	0
LINC01778	0
RN7SKP91	0
AL445235.1	0
SDC3	637
RN7SL371P	0
PUM1	3283
AL356320.2	0
AL356320.1	0
SELENOWP1	1
